Symbol/CUSIP,Name,Asset Class,Quantity,Cost Basis,Market Value,Unrealized Gain/Loss,Est. Annual Income,Est. Yield,Account Type,Account
QACDS,CHASE DEPOSIT SWEEP JPMORGAN CHASE BANK NA EST. 30 DAY AVG YIELD: LDT5 APPLICABLE LIMITS MAY APPLY. NOT FDIC INSURED. NOT COVERED BY SIPC.,Funds,900226.92,,900226.92,,,,Unknown,TFR ON DEATH IND 974-51910
AMZN,AMAZON.COM INC Dividend Reinvested,Funds,30.0,101830.9,92822.4,-9008.5,,,Unknown,TFR ON DEATH IND 974-51910
ABEV,AMBEV S A ADS EST YIELD: 2.97%,Funds,10000.0,26500.0,27400.0,900.0,813.6,,Unknown,TFR ON DEATH IND 974-51910
BUD,ANHEUSER-BUSCH INBEV SA SPONSORED ADR Dividend Reinvested EST YIELD: 1.71%,Funds,300.0,19314.0,18855.0,-459.0,322.2,,Unknown,TFR ON DEATH IND 974-51910
CCL,CARNIVAL CORP COMMON PARSED STOCK Dividend Reinvested,Funds,3500.0,87885.0,92890.0,5005.0,,,Unknown,TFR ON DEATH IND 974-51910
THE,COCA COLA COMPANY,Funds,1000.0,52736.0,52710.0,-26.0,1680.0,,Unknown,TFR ON DEATH IND 974-51910
CMCSA,COMCAST CORP CLASS A CLA Dividend Reinvested EST YIELD: 1.85%,Funds,3.80451,163.77,205.86,42.09,3.8,,Unknown,TFR ON DEATH IND 974-51910
CVS,CVS HEALTH CORPORATION Dividend Reinvested EST YIELD: 2.86%,Funds,1000.0,75700.0,75230.0,-470.0,2000.0,,Unknown,TFR ON DEATH IND 974-51910
D,DOMINION ENERGY INC COMMON STOCK Dividend Reinvested EST YIELD: 3.32%,Funds,1000.0,75680.0,75960.0,280.0,2520.0,,Unknown,TFR ON DEATH IND 974-51910
ET,ENERGY TRANSFER LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS Dividend Reinvested EST YIELD: 6.24%,Funds,2000.0,15800.0,15360.0,-440.0,1220.0,,Unknown,TFR ON DEATH IND 974-51910
FITB,FIFTH THIRD BANCORP Dividend Reinvested EST YIELD: 2.98%,Funds,500.0,14513.4,18725.0,4211.6,540.0,,Unknown,TFR ON DEATH IND 974-51910
FVAII,FORTRESS VALUE ACQUISITION CORP II CLASS A COMMON STOCK,Funds,1000.0,11780.0,9970.0,-1810.0,,,Unknown,TFR ON DEATH IND 974-51910
POTX,GLOBAL X FDS GLOBAL X CANNABIS ETF EST YIELD: 3.3%,Funds,300.0,8433.0,4815.0,-3618.0,162.3,,Unknown,TFR ON DEATH IND 974-51910
INGR,INGREDION INC CORP Dividend Reinvested EST YIELD: 2.85%,Funds,600.0,52200.0,53952.0,1752.0,1536.0,,Unknown,TFR ON DEATH IND 974-51910
IBM,INTERNATIONAL BUSINESS MACHINES CORP Dividend Reinvested EST YIELD: 4.69%,Funds,303.67926,36429.0,40494.95,4065.95,1981.29,,Unknown,TFR ON DEATH IND 974-51910
JNJ,JOHNSON & JOHNSON Dividend Reinvested EST YIELD: 2.49%,Funds,201.27414,33212.0,33078.4,-132.8,813.15,,Unknown,TFR ON DEATH IND 974-51910
MRK,MERCK & CO INC Dividend Reinvested EST YIELD: 3.37%,Funds,300.0,23307.0,23127.0,-180.0,780.0,,Unknown,TFR ON DEATH IND 974-51910
PFE,PFIZER INC Dividend Reinvested EST YIELD: 4.31%,Funds,1500.0,51510.0,54345.0,2835.0,2340.0,,Unknown,TFR ON DEATH IND 974-51910
PSXP,PHILLIPS 66 PARTNERS LP COMMON UNIT REPR LTD PARTNERSHIP INT Dividend Reinvested EST YIELD: 11.05%,Funds,800.0,20232.0,25336.0,5104.0,2800.0,,Unknown,TFR ON DEATH IND 974-51910
RHHBY,ROCHE HOLDING LTD SPONSORED ADR REPSTG ORD EST YIELD: 0.01%,Funds,1000.0,40370.0,40560.0,190.0,773.0,,Unknown,TFR ON DEATH IND 974-51910
